geoid,index,latitude,longitude,area_in_m,confidence,geometry,plus_code,taxable,tax
221184,221184,5.76394533,-0.21838663,17.2424,0.7976,"POLYGON ((-0.2183755809761 5.76392113815298, -0.218409198647748 5.76393132568498, -0.218397660220863 5.76396952171118, -0.21836404254788 5.76395933417734, -0.2183755809761 5.76392113815298))",6CQXQQ7J+HJHW,1,0
172465,172465,5.76504941,-0.22358817,191.1944,0.8914,"POLYGON ((-0.223564492862006 5.76496000505601, -0.223679201881174 5.76506495028823, -0.223611839841161 5.76513881232021, -0.223497130833648 5.76503386707226, -0.223564492862006 5.76496000505601))",6CQXQQ8G+2H7R,1,0
13214,13214,5.76543113,-0.22307569,890.7844,0.9658,"POLYGON ((-0.223136737141495 5.76523953189235, -0.223274230614725 5.76540106452087, -0.223014632283704 5.76562272799001, -0.222877138891598 5.76546119530864, -0.223136737141495 5.76523953189235))",6CQXQQ8G+5QF8,1,0
57938,57938,5.76562867,-0.22026979,225.0406,0.9296,"POLYGON ((-0.220209085270145 5.7655346443708, -0.220379825414134 5.76564843514396, -0.220330489596371 5.76572269622321, -0.220159749453862 5.76560890543029, -0.220209085270145 5.7655346443708))",6CQXQQ8H+7V53,1,0
24242,24242,5.76634996,-0.22164639,23.2198,0.7582,"POLYGON ((-0.221667940128181 5.76631430674206, -0.221647662606149 5.76639163490883, -0.221624828548025 5.76638562829714, -0.221645106071726 5.76630830013312, -0.221667940128181 5.76631430674206))",6CQXQQ8H+G8QV,1,0
168063,168063,5.75986237,-0.22524979,5.1041,0.6515,"POLYGON ((-0.225258133240118 5.7598505739099, -0.225262402750699 5.7598693898029, -0.225241435255582 5.75987416266633, -0.225237165745839 5.75985534677346, -0.225258133240118 5.7598505739099))",6CQXQQ5F+WWRC,1,0
238170,238170,5.75993045,-0.22461823,18.8328,0.6905,"POLYGON ((-0.224586845331123 5.75991956526013, -0.224603140927177 5.75990082995937, -0.224649595977416 5.75994136416302, -0.224633300380245 5.75996009946551, -0.224586845331123 5.75991956526013))",6CQXQQ5G+X5C6,1,0
16691,16691,5.76022571,-0.22479154,15.7036,0.7136,"POLYGON ((-0.224776807327955 5.76020370937674, -0.224817630615032 5.7602213422783, -0.224806278388721 5.76024770825833, -0.224765455101114 5.76023007535459, -0.224776807327955 5.76020370937674))",6CQXQQ6G+33W4,1,0
158178,158178,5.7610342,-0.22594319,221.9518,0.9153,"POLYGON ((-0.225957344836521 5.76093440668111, -0.226038271167587 5.76100116371013, -0.225929038981822 5.76113400125879, -0.225848112659202 5.76106724421242, -0.225957344836521 5.76093440668111))",6CQXQQ6F+CJ79,1,0
9834,9834,5.7622543,-0.22543427,65.0616,0.8684,"POLYGON ((-0.225422362713781 5.76220413432027, -0.225485206846372 5.76224680821285, -0.225446179928416 5.76230446391518, -0.225383335796606 5.76226179001659, -0.225422362713781 5.76220413432027))",6CQXQQ6F+WR42,1,0
137934,137934,5.76342178,-0.22703492,489.771,0.9284,"POLYGON ((-0.227005143434405 5.76328149088584, -0.227160063778976 5.76337061691939, -0.227121947599042 5.76343708101616, -0.227138486044884 5.76344659562081, -0.227072797218871 5.76356113874316, -0.226901338422282 5.7634624980589, -0.227005143434405 5.76328149088584))",6CQXQQ7F+958X,1,0
39339,39339,5.76354804,-0.22714481,18.022,0.8086,"POLYGON ((-0.227132711641278 5.76352378747618, -0.227168327666228 5.76353462878954, -0.227156901960118 5.76357228357325, -0.22712128593372 5.76356144225817, -0.227132711641278 5.76352378747618))",6CQXQQ7F+C49V,1,0
114879,114879,5.76357279,-0.22529896,84.0832,0.9002,"POLYGON ((-0.225281204994487 5.76351588826016, -0.225358458565931 5.7635709801822, -0.225316721953456 5.76362969143267, -0.22523946838353 5.76357459950319, -0.225281204994487 5.76351588826016))",6CQXQQ7F+CVGV,1,0
164896,164896,5.75197687,-0.23505333,154.6033,0.9261,"POLYGON ((-0.235028882580106 5.75189838760823, -0.235135209394061 5.75198268040201, -0.235077783790835 5.75205534943148, -0.234971456982199 5.75197105662485, -0.235028882580106 5.75189838760823))",6CQXQQ27+QXW3,1,0
3666,3666,5.75467106,-0.23556357,94.6188,0.8488,"POLYGON ((-0.23553079651273 5.75461666107676, -0.23562521343968 5.75465603833721, -0.235596351920395 5.75472546253576, -0.23550193498876 5.75468608526552, -0.23553079651273 5.75461666107676))",6CQXQQ37+VQ7X,1,0
